id,business_name,city,phone,email,address,postal_code,scraped_text,services,brand_color_1,brand_color_2,style_preset,status,deployed_url
1,Tandartspraktijk De Smile,Rotterdam,010 412 5678,info@tandartsdesmile.nl,Coolsingel 5,3011 AD,Moderne tandartspraktijk in hartje Rotterdam. Opgericht in 2012. Wij geloven dat tandheelkunde niet eng hoeft te zijn. Ons vriendelijk team staat voor u klaar. Gratis parkeren beschikbaar. Spoedhulp mogelijk op dezelfde dag.,"Controle en reiniging, Bleken, Composiet vullingen, Implantaten, Protheses, Kinderodontologie",#C0392B,#96281B,warm-editorial,completed,https://tandarts-tandartspraktijk-de-smile.pages.dev
2,Dental Studio Noord,Amsterdam,020 638 9012,hallo@dentalstudio-noord.nl,Buiksloterweg 85,1031 CG,"Tandartspraktijk en mondhygiëne in Amsterdam Noord. Vlakbij de pont. Modern interieur, state-of-the-art apparatuur. Wij werken met het Cerec systeem voor kronen op één dag. Alle verzekeraars welkom. Open op zaterdagen.","Preventieve zorg, Kronen en bruggen, Esthetische tandheelkunde, Invisalign, Mondhygiëne",#1A5276,#154360,ocean-depths,completed,https://tandarts-dental-studio-noord.pages.dev
3,TandZorg Utrecht Centrum,Utrecht,030 231 4455,info@tandzorg-utrecht.nl,Oudegracht 112,3511 AW,Tandartspraktijk aan de Oudegracht in Utrecht. Al meer dan 20 jaar vertrouwd adres voor Utrechters. Specialisatie in angstbehandeling en kindertandheelkunde. Digitale röntgenfoto's en 3D-scan beschikbaar. Patiënten omschrijven ons als warm en professioneel.,"Angstbehandeling, Kindertandheelkunde, Implantologie, Parodontologie, Bleken, Noodbehandeling",#8E44AD,#7D3C98,tech-innovation,completed,https://tandarts-tandzorg-utrecht-centrum.pages.dev
4,Praktijk voor Mondzorg Scheveningen,Den Haag,070 354 8823,contact@mondzorgscheveningen.nl,Gevers Deynootweg 55,2586 BK,"Tandartspraktijk en mondhygiënepraktijk aan de boulevard van Scheveningen. Uitzicht op zee vanuit de wachtkamer. Gespecialiseerd in esthetische tandheelkunde en implantaten. Internationaal patiëntenbestand, Engels en Duits gesproken.","Esthetische tandheelkunde, Implantaten, Veneers, Tandbleken, Orthodontie, All-on-4",#1E8449,#196F3D,warm-editorial,completed,https://tandarts-praktijk-voor-mondzorg-scheveningen.pages.dev
5,Smile Factory Eindhoven,Eindhoven,040 213 7766,info@smilefactory.nl,Stratumseind 10,5611 ES,"Toonaangevende tandartspraktijk in het bruisende centrum van Eindhoven. Innovatieve tandheelkunde voor de moderne mens. Samenwerking met Philips voor innovatieve mondverzorgingstechnologie. Digitale afdrukken, geen siliconen meer. Hoge patiënttevredenheid.","Preventieve zorg, Digitale tandheelkunde, Implantaten, Aligners, Laserbehandeling, Sporttandheelkunde",#2471A3,#1A5276,ocean-depths,completed,https://tandarts-smile-factory-eindhoven.pages.dev
6,B Tandartspraktijk De Smile,Rotterdam,010 412 5678,info@tandartsdesmile.nl,Coolsingel 5,3011 AD,Moderne tandartspraktijk in hartje Rotterdam. Opgericht in 2012. Wij geloven dat tandheelkunde niet eng hoeft te zijn. Ons vriendelijk team staat voor u klaar. Gratis parkeren beschikbaar. Spoedhulp mogelijk op dezelfde dag.,"Controle en reiniging, Bleken, Composiet vullingen, Implantaten, Protheses, Kinderodontologie",#C0392B,#96281B,warm-editorial,failed,https://tandarts-tandartspraktijk-de-smile.pages.dev
7,B Dental Studio Noord,Amsterdam,020 638 9012,hallo@dentalstudio-noord.nl,Buiksloterweg 85,1031 CG,"Tandartspraktijk en mondhygiëne in Amsterdam Noord. Vlakbij de pont. Modern interieur, state-of-the-art apparatuur. Wij werken met het Cerec systeem voor kronen op één dag. Alle verzekeraars welkom. Open op zaterdagen.","Preventieve zorg, Kronen en bruggen, Esthetische tandheelkunde, Invisalign, Mondhygiëne",#1A5276,#154360,ocean-depths,failed,https://tandarts-dental-studio-noord.pages.dev
8,B TandZorg Utrecht Centrum,Utrecht,030 231 4455,info@tandzorg-utrecht.nl,Oudegracht 112,3511 AW,Tandartspraktijk aan de Oudegracht in Utrecht. Al meer dan 20 jaar vertrouwd adres voor Utrechters. Specialisatie in angstbehandeling en kindertandheelkunde. Digitale röntgenfoto's en 3D-scan beschikbaar. Patiënten omschrijven ons als warm en professioneel.,"Angstbehandeling, Kindertandheelkunde, Implantologie, Parodontologie, Bleken, Noodbehandeling",#8E44AD,#7D3C98,tech-innovation,failed,https://tandarts-tandzorg-utrecht-centrum.pages.dev
9,B Praktijk voor Mondzorg Scheveningen,Den Haag,070 354 8823,contact@mondzorgscheveningen.nl,Gevers Deynootweg 55,2586 BK,"Tandartspraktijk en mondhygiënepraktijk aan de boulevard van Scheveningen. Uitzicht op zee vanuit de wachtkamer. Gespecialiseerd in esthetische tandheelkunde en implantaten. Internationaal patiëntenbestand, Engels en Duits gesproken.","Esthetische tandheelkunde, Implantaten, Veneers, Tandbleken, Orthodontie, All-on-4",#1E8449,#196F3D,warm-editorial,failed,https://tandarts-praktijk-voor-mondzorg-scheveningen.pages.dev
10,B Smile Factory Eindhoven,Eindhoven,040 213 7766,info@smilefactory.nl,Stratumseind 10,5611 ES,"Toonaangevende tandartspraktijk in het bruisende centrum van Eindhoven. Innovatieve tandheelkunde voor de moderne mens. Samenwerking met Philips voor innovatieve mondverzorgingstechnologie. Digitale afdrukken, geen siliconen meer. Hoge patiënttevredenheid.","Preventieve zorg, Digitale tandheelkunde, Implantaten, Aligners, Laserbehandeling, Sporttandheelkunde",#2471A3,#1A5276,ocean-depths,failed,https://tandarts-smile-factory-eindhoven.pages.dev
11,Tandarts Groningen Centrum,Groningen,050 312 4455,info@tandarts-groningen.nl,Grote Markt 14,9711 LV,Tandartspraktijk in het centrum van Groningen.,"Controle en reiniging, Bleken, Implantaten",#E74C3C,#C0392B,warm-editorial,completed,https://tandarts-tandarts-groningen-centrum.pages.dev
12,Smile Studio Tilburg,Tilburg,013 544 8877,info@smilestudio-tilburg.nl,Heuvelstraat 22,5038 SM,Moderne tandartspraktijk in het winkelhart van Tilburg.,"Preventieve zorg, Esthetische tandheelkunde, Orthodontie",#2980B9,#2471A3,ocean-depths,failed,
13,Mondzorg Almere Haven,Almere,036 533 2211,info@mondzorg-almere.nl,Heliumweg 5,1362 JA,Tandartspraktijk in Almere Haven voor het hele gezin.,"Kindertandheelkunde, Implantaten, Kronen en bruggen",#27AE60,#219A52,tech-innovation,completed,https://tandarts-mondzorg-almere-haven.pages.dev
14,Praktijk Breda Smile,Breda,076 521 6644,contact@bredaSmile.nl,Ginnekenstraat 88,4811 JL,Persoonlijke tandheelkundige zorg in hartje Breda.,"Controle en reiniging, Veneers, Tandbleken",#D35400,#BA4A00,warm-editorial,completed,https://tandarts-praktijk-breda-smile.pages.dev
